,place_name,place_types,presence_likelihood,datetime,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_4_hours,type_1_day,type_7_days
4073,Power Construction Inc.,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.253449821472168,2010-03-20 12:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4072,"North Shore, Yosemite Slough","PARK,POINT_OF_INTEREST,ESTABLISHMENT,",0.2648075103759766,2010-03-20 12:20:00,PARK,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4071,"North Shore, Yosemite Slough","PARK,POINT_OF_INTEREST,ESTABLISHMENT,",0.2648075103759766,2010-03-20 12:00:00,PARK,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4070,"Faragon Restoration, Ltd.","GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2130465888977051,2010-03-20 11:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4069,"Faragon Restoration, Ltd.","GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2130465888977051,2010-03-20 11:20:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4068,"Faragon Restoration, Ltd.","GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2130465888977051,2010-03-20 11:00:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4067,"Faragon Restoration, Ltd.","GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.2130465888977051,2010-03-20 10:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4066,Around the clock inc,"STORAGE,POINT_OF_INTEREST,ESTABLISHMENT,",0.2593432807922363,2010-03-20 10:20:00,STORAGE,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4065,A52 Signs & Graphics,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1795331573486328,2010-03-20 10:00:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4064,La Salle Apartments,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2355623817443848,2010-03-20 09:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4063,La Salle Apartments,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2355623817443848,2010-03-20 09:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4062,La Salle Apartments,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2355623817443848,2010-03-20 09:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4061,La Salle Apartments,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2355623817443848,2010-03-20 08:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4060,Ascension Baptist Church,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.8290889739990235,2010-03-20 08:20:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4059,Ascension Baptist Church,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.8290889739990235,2010-03-20 08:00:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4058,Ascension Baptist Church,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.8290889739990235,2010-03-20 07:40:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4057,Ascension Baptist Church,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.8290889739990235,2010-03-20 07:20:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4056,Ascension Baptist Church,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.8290889739990235,2010-03-20 07:00:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4055,Jg Trucking Co,"MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,",0.3990594100952148,2010-03-20 06:40:00,MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4054,Jg Trucking Co,"MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,",0.3990594100952148,2010-03-20 06:20:00,MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4053,Jg Trucking Co,"MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,",0.3990594100952148,2010-03-20 06:00:00,MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4052,Jg Trucking Co,"MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,",0.3990594100952148,2010-03-20 00:00:00,MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4051,Smooth Line Trans & Inv Inc,"MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,",0.117616081237793,2010-03-19 23:00:00,MOVING_COMPANY,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4050,Pioneer Roofing,"ROOFING_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.4990462112426758,2010-03-19 22:40:00,ROOFING_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4049,Bay View Park K.C. Jones Playground,"PARK,POINT_OF_INTEREST,ESTABLISHMENT,",0.2061032485961914,2010-03-19 22:20:00,PARK,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4048,Spacedezine,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.299857177734375,2010-03-19 22:00:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4047,Spacedezine,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.299857177734375,2010-03-19 21:40:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4046,Spacedezine,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.299857177734375,2010-03-19 21:20:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4045,Nulu Thrift Store,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1952695846557617,2010-03-19 21:00:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4044,100% College Prep,"POINT_OF_INTEREST,ESTABLISHMENT,",0.188533878326416,2010-03-19 20:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4043,Whitney Young Child Development Center,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1813687133789063,2010-03-19 20:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
4042,Martin Luther King Child Care,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3796699905395508,2010-03-19 20:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4041,Ideal Daycare,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1546522045135498,2010-03-19 19:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4040,College Track,"POINT_OF_INTEREST,ESTABLISHMENT,",0.3884170913696289,2010-03-19 19:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4039,Martin Luther King Child Care,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2855667495727539,2010-03-19 19:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4038,100% College Prep,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1204060077667236,2010-03-19 18:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4037,Vega Electric inc,"GENERAL_CONTRACTOR,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.1139960193634033,2010-03-19 18:20:00,GENERAL_CONTRACTOR,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4036,James Memorial Church of God,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2534111404418946,2010-03-19 18:00:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4035,James Memorial Church of God,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2534111404418946,2010-03-19 17:40:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4034,James Memorial Church of God,"CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,",0.2534111404418946,2010-03-19 17:20:00,CHURCH,PLACE_OF_WORSHIP,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4033,American Metal Products,"GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.1715287208557129,2010-03-19 17:00:00,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4032,One Hat One Hand,"FURNITURE_STORE,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.3158374786376953,2010-03-19 16:40:00,FURNITURE_STORE,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4031,One Hat One Hand,"FURNITURE_STORE,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.3158374786376953,2010-03-19 16:20:00,FURNITURE_STORE,HOME_GOODS_STORE,GENERAL_CONTRACTOR,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4030,USI Office - San Francisco,"POINT_OF_INTEREST,ESTABLISHMENT,",0.2356990432739258,2010-03-19 16:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,NATURAL_FEATURE,NATURAL_FEATURE,POLITICAL
